panneauId;imageUrl;contentImageUrl;categoryId;formeId;libelle
RS_035;assets/images/panneaux/RS_035.png;assets/images/panneaux/RS_035q.png;B1;interdiction;Limitation de vitesse à 30 km/h
RS_038;assets/images/panneaux/RS_038.png;assets/images/panneaux/RS_038q.png;B1;interdiction;Limitation de vitesse à 50 km/h
RS_040;assets/images/panneaux/RS_040.png;assets/images/panneaux/RS_040q.png;B1;interdiction;Limitation de vitesse à 70 km/h
RS_041;assets/images/panneaux/RS_041.png;assets/images/panneaux/RS_041q.png;B1;interdiction;Limitation de vitesse à 80 km/h
RS_042;assets/images/panneaux/RS_042.png;assets/images/panneaux/RS_042q.png;B1;interdiction;Limitation de vitesse à 90 km/h
RS_043;assets/images/panneaux/RS_043.png;assets/images/panneaux/RS_043q.png;B1;interdiction;Limitation de vitesse à 110 km/h
RS_044;assets/images/panneaux/RS_044.png;assets/images/panneaux/RS_044q.png;B1;interdiction;Limitation de vitesse à 130 km/h
RS_045;assets/images/panneaux/RS_045.png;assets/images/panneaux/RS_045q.png;B1;interdiction;Cédez le passage à la circulation venant en sens inverse
RS_046;assets/images/panneaux/RS_046.png;assets/images/panneaux/RS_046q.png;B1;interdiction_barre;Signaux sonores interdits
RS_047;assets/images/panneaux/RS_047.png;assets/images/panneaux/RS_047q.png;B1;interdiction;Interdiction aux véhicules de circuler sans maintenir entre eux un intervalle au moins égal au nombre indiqué
RS_048;assets/images/panneaux/RS_048.png;assets/images/panneaux/RS_048q.png;B1;interdiction;Accès interdit aux véhicules transportant des marchandises explosives
RS_049;assets/images/panneaux/RS_049.png;assets/images/panneaux/RS_049q.png;B1;interdiction;Accès interdit aux véhicules transportant des marchandises susceptibles de polluer les eaux
RS_050;assets/images/panneaux/RS_050.png;assets/images/panneaux/RS_050q.png;B1;interdiction;Accès interdit aux véhicules transportant des marchandises dangereuses
RS_060;assets/images/panneaux/RS_060.png;assets/images/panneaux/RS_060q.png;B2;obligation;Obligation de tourner à droite avant le panneau
RS_061;assets/images/panneaux/RS_061.png;assets/images/panneaux/RS_061q.png;B2;obligation;Obligation de tourner à gauche avant le panneau
RS_062;assets/images/panneaux/RS_062.png;assets/images/panneaux/RS_062q.png;B2;obligation;Contournement obligatoire par la droite
RS_063;assets/images/panneaux/RS_063.png;assets/images/panneaux/RS_063q.png;B2;obligation;Contournement obligatoire par la gauche
